Month,Day,Average Max. Temp. (°C),Average Min. Temp. (°C),Frequency of Precip. (%),Highest Temp. (°C),Highest Temp.Year,Highest Temp. Period,Highest Temp. Data Quality,Lowest Temp. (°C),Lowest Temp. Year,Lowest Temp. Period,Lowest Temp. Data Quality,Greatest Precip. (mm),Greatest Precip. Year,Greatest Precip. Period,Greatest Precip. Data Quality,Greatest Rainfall (mm),Greatest Rainfall Year,Greatest Rainfall Period,Greatest Rainfall Data Quality,Greatest Snowfall (cm),Greatest Snowfall Year,Greatest Snowfall Period,Greatest Snowfall Data Quality,Most Snow on the Ground (cm),Most Snow on the Ground Year,Most Snow on the Ground Period,Most Snow on the Ground Data Quality
1,1,-5.5,-13.7,51,7.9,2007,1890-2016,†,-30,1947,1890-2016,,20.3,1893,1890-2016,,19.8,1942,1890-2016,,20.3,1893,1890-2016,,41,1971,1961-2016,
1,2,-5.6,-13.9,51,8.3,1890,1890-2016,,-32.2,1904,1890-2016,,17.8,1916,1890-2016,,15.7,1890,1890-2016,,17.8,1916,1890-2016,,41,1971,1961-2016,
1,3,-5.7,-14,51,11.1,1950,1890-2016,,-34,1981,1890-2016,,23.4,1913,1890-2016,,23.4,1913,1890-2016,,16.5,1924,1890-2016,,43,1971,1961-2016,
1,4,-5.8,-14.1,51,11.1,1950,1890-2016,,-35,1981,1890-2016,,36.1,1993,1890-2016,,36.1,1993,1890-2016,,13.5,1959,1890-2016,,44,2008,1961-2016,†
1,5,-5.9,-14.2,51,10.3,2007,1890-2016,†,-34.4,1904,1890-2016,,28.8,1998,1890-2016,,25.8,1998,1890-2016,,10.4,1962,1890-2016,,41,1971,1961-2016,
1,6,-6,-14.3,51,8.9,1946,1890-2016,,-33.9,1945,1890-2016,,27.4,1929,1890-2016,,27.4,1929,1890-2016,,23.2,1981,1890-2016,,41,1971,1961-2016,
1,7,-6.1,-14.4,51,9.5,2008,1890-2016,†,-29.3,1996,1890-2016,,35.6,1905,1890-2016,,17.4,2008,1890-2016,†,35.6,1905,1890-2016,,43,2013,1961-2016,†
1,8,-6.1,-14.5,51,11,2008,1890-2016,†,-32.8,1968,1890-2016,,29.2,1978,1890-2016,,26.2,1930,1890-2016,,15.2,1923,1890-2016,,40,1978,1961-2016,
1,9,-6.2,-14.6,51,11.2,2008,1890-2016,†,-31.7,1943,1890-2016,,24.1,1912,1890-2016,,19.6,1946,1890-2016,,24.1,1912,1890-2016,,43,1996,1961-2016,
1,10,-6.2,-14.7,51,7.8,1950,1890-2016,,-32.2,1945,1890-2016,,28.2,1983,1890-2016,,28.2,1983,1890-2016,,20.3,1977,1890-2016,,49,1996,1961-2016,
1,11,-6.3,-14.8,51,9.5,1980,1890-2016,,-30,1893,1890-2016,,17.8,1895,1890-2016,,14.2,1980,1890-2016,,17.8,1895,1890-2016,,49,1996,1961-2016,
1,12,-6.3,-14.9,51,6.5,2013,1890-2016,†,-31.1,1893,1890-2016,,33,1901,1890-2016,,6.6,2012,1890-2016,†,33,1901,1890-2016,,46,1971,1961-2016,
