Month,Day,Average Max. Temp. (°C),Average Min. Temp. (°C),Frequency of Precip. (%),Highest Temp. (°C),Highest Temp.Year,Highest Temp. Period,Highest Temp. Data Quality,Lowest Temp. (°C),Lowest Temp. Year,Lowest Temp. Period,Lowest Temp. Data Quality,Greatest Precip. (mm),Greatest Precip. Year,Greatest Precip. Period,Greatest Precip. Data Quality,Greatest Rainfall (mm),Greatest Rainfall Year,Greatest Rainfall Period,Greatest Rainfall Data Quality,Greatest Snowfall (cm),Greatest Snowfall Year,Greatest Snowfall Period,Greatest Snowfall Data Quality,Most Snow on the Ground (cm),Most Snow on the Ground Year,Most Snow on the Ground Period,Most Snow on the Ground Data Quality
1,1,6.5,2.5,,11.8,1992,1958-2016,,-8.3,1979,1958-2016,,39.4,1954,1926-2016,,39.4,1954,1926-1990,,12.7,1966,1926-1990,,4,1982,1981-1988,
1,2,6.5,2.5,,12.8,2002,1958-2016,,-7.2,1959,1958-2016,,53.8,2007,1926-2016,,36.1,1953,1926-1991,,7.6,1973,1926-1991,,6,1982,1981-1988,
1,3,6.5,2.5,,12.2,2001,1958-2016,,-9.4,1959,1958-2016,,74.4,1984,1926-2016,,74.4,1984,1926-1991,,21.0,1978,1926-1991,,10,1982,1981-1988,
1,4,6.5,2.5,,12.7,2003,1958-2016,,-8.3,1959,1958-2016,,52.2,2001,1926-2016,,43.2,1961,1926-1991,,7.6,1959,1926-1991,,8,1982,1981-1988,
1,5,6.5,2.5,,12.7,2001,1958-2016,,-7.8,1982,1958-2016,,51.8,1935,1926-2016,,51.8,1935,1926-1991,,4.1,1947,1926-1991,,8,1982,1981-1988,
1,6,6.5,2.5,,12.1,2002,1958-2016,,-8.0,1982,1958-2016,,50.8,2009,1926-2016,†,40.6,1945,1926-1990,,7.6,1953,1926-1990,,6,1982,1981-1988,
1,7,6.5,2.5,,13.8,2002,1958-2016,,-4.3,1993,1958-2016,,32.4,2007,1926-2016,,29.9,1983,1926-1990,,6.9,1952,1926-1990,,10,1982,1981-1988,
1,8,6.5,2.5,,12.3,2002,1958-2016,,-6.7,1973,1958-2016,,46.5,1928,1926-2016,,46.5,1928,1926-1990,,3.8,1950,1926-1990,,6,1982,1981-1988,
1,9,6.6,2.5,,11.1,1986,1958-2016,,-6.7,1973,1958-2016,,72.9,1961,1926-2016,,72.9,1961,1926-1990,,10.2,1946,1926-1990,,0,1981,1981-1988,
1,10,6.6,2.5,,12.5,1986,1958-2016,,-6.6,1980,1958-2016,,101.3,1961,1926-2016,,101.3,1961,1926-1990,,17.8,1972,1926-1990,,0,1981,1981-1988,
1,11,6.6,2.6,,12.2,1961,1958-2016,,-6.7,1971,1958-2016,,66.4,2010,1926-2016,†,44.8,1987,1926-1990,,17.8,1971,1926-1990,,0,1981,1981-1988,
1,12,6.6,2.6,,11.7,2010,1958-2016,†,-7.8,1971,1958-2016,,63.5,1968,1926-2016,,63.5,1968,1926-1990,,22.9,1971,1926-1990,,0,1981,1981-1988,
1,13,6.7,2.6,,11.7,1968,1958-2016,,-8.9,1971,1958-2016,,48.5,1938,1926-2016,,48.5,1938,1926-1990,,15.2,1971,1926-1990,,0,1981,1981-1988,
1,14,6.7,2.6,,12.2,1968,1958-2016,,-7.2,1969,1958-2016,,53.4,2010,1926-2016,†,35.1,1927,1926-1990,,17.8,1971,1926-1990,,0,1981,1981-1988,
1,15,6.7,2.6,,12.2,1974,1958-2016,,-6.7,1969,1958-2016,,56.2,2010,1926-2016,†,46.2,1934,1926-1990,,8.4,1951,1926-1990,,0,1981,1981-1988,
1,16,6.8,2.6,,11.7,1974,1958-2016,,-7.2,1969,1958-2016,,54.1,1926,1926-2016,,54.1,1926,1926-1990,,11.4,1954,1926-1990,,0,1981,1981-1988,
1,17,6.8,2.6,,11.5,1977,1958-2016,,-11.7,1969,1958-2016,,103.4,2005,1926-2016,,46.5,1941,1926-1990,,17.8,1970,1926-1990,,0,1981,1981-1988,
1,18,6.8,2.6,,12.1,1998,1958-2016,,-5.6,2012,1958-2016,†,134.6,1968,1926-2016,,134.6,1968,1926-1990,,29.2,1943,1926-1990,,0,1981,1981-1988,
1,19,6.9,2.7,,14.5,2010,1958-2016,†,-5.5,2012,1958-2016,†,46.6,1997,1926-2016,,32.0,1972,1926-1991,,15.2,1943,1926-1991,,0,1981,1981-1988,
1,20,6.9,2.7,,14.7,1981,1958-2016,,-11.7,1969,1958-2016,,49.0,1935,1926-2016,,36.3,1934,1926-1991,,36.8,1935,1926-1991,,0,1981,1981-1988,
1,21,6.9,2.7,,15.6,1981,1958-2016,,-7.2,1969,1958-2016,,93.2,1935,1926-2016,,93.2,1935,1926-1991,,17.8,1971,1926-1991,,0,1981,1981-1988,
1,22,7.0,2.7,,12.6,1994,1958-2016,,-9.4,1969,1958-2016,,72.1,1935,1926-2016,,72.1,1935,1926-1991,,11.4,1954,1926-1991,,7,1982,1981-1988,
1,23,7.0,2.7,,12.8,1968,1958-2016,,-10.0,1969,1958-2016,,71.9,1935,1926-2016,,71.9,1935,1926-1990,,25.4,1954,1926-1990,,0,1981,1981-1988,
1,24,7.1,2.8,,11.9,1992,1958-2016,,-11.1,1969,1958-2016,,50.3,1935,1926-2016,,50.3,1935,1926-1991,,33.0,1954,1926-1991,,0,1981,1981-1988,
1,25,7.1,2.8,,13.4,1992,1958-2016,,-5.0,1972,1958-2016,,51.8,1971,1926-2016,,51.8,1971,1926-1991,,16.5,1950,1926-1991,,0,1981,1981-1988,
1,26,7.2,2.8,,14.6,2003,1958-2016,,-7.8,1972,1958-2016,,30.2,1976,1926-2016,,30.2,1976,1926-1991,,7.6,1932,1926-1991,,0,1981,1981-1988,
1,27,7.2,2.8,,13.7,1992,1958-2016,,-9.4,1969,1958-2016,,52.1,1931,1926-2016,,52.1,1931,1926-1991,,2.5,1975,1926-1991,,0,1981,1981-1988,
1,28,7.3,2.9,,12.8,2016,1958-2016,†,-11.1,1969,1958-2016,,47.0,1990,1926-2016,,13.5,1926,1926-1991,,7.6,1946,1926-1991,,0,1981,1981-1988,
1,29,7.3,2.9,,14.1,1992,1958-2016,,-13.3,1969,1958-2016,,50.8,1971,1926-2016,,50.8,1971,1926-1991,,13.7,1929,1926-1991,,0,1981,1981-1988,
1,30,7.4,2.9,,14.4,1961,1958-2016,,-8.4,1996,1958-2016,,38.6,1992,1926-2016,,27.9,1953,1926-1990,,15.2,1938,1926-1990,,0,1981,1981-1988,
1,31,7.5,2.9,,15.4,1992,1958-2016,,-6.1,1969,1958-2016,,27.4,1991,1926-2016,,25.6,1980,1926-1990,,3.8,1938,1926-1990,,0,1981,1981-1988,
2,1,7.5,3.0,,13.1,1998,1958-2016,,-5.6,1972,1958-2016,,58.8,1991,1926-2016,,58.8,1991,1926-1991,,11.4,1937,1926-1991,,1,1985,1981-1997,
2,2,7.6,3.0,,12.9,1991,1958-2016,,-5.0,1972,1958-2016,,29.4,1999,1926-2016,,28.4,1980,1926-1991,,9.9,1949,1926-1991,,0,1981,1981-1997,
2,3,7.6,3.0,,16.4,1992,1958-2016,,-5.0,1972,1958-2016,,41.4,1968,1926-2016,,41.4,1968,1926-1991,,11.4,1946,1926-1991,,7,1988,1981-1997,
2,4,7.7,3.1,,14.1,1992,1958-2016,,-3.3,1972,1958-2016,,50.3,1961,1926-2016,,50.3,1961,1926-1991,,8.9,1937,1926-1991,,3,1988,1981-1997,
2,5,7.8,3.1,,13.3,1961,1958-2016,,-2.6,2014,1958-2016,†,35.2,2015,1926-2016,†,30.7,1943,1926-1991,,13.2,1949,1926-1991,,4,1985,1981-1997,
2,6,7.8,3.1,,13.3,1961,1958-2016,,-6.0,2014,1958-2016,†,77.0,1945,1926-2016,,77.0,1945,1926-1991,,7.1,1975,1926-1991,,2,1985,1981-1997,
2,7,7.9,3.1,,14.9,1998,1958-2016,,-2.7,2014,1958-2016,†,38.9,1948,1926-2016,,34.0,1945,1926-1991,,10.2,1943,1926-1991,,1,1985,1981-1997,
2,8,8.0,3.2,,12.9,2015,1958-2016,†,-4.1,2014,1958-2016,†,35.6,1951,1926-2016,,35.6,1951,1926-1991,,10.2,1948,1926-1991,,0,1981,1981-1997,
2,9,8.0,3.2,,13.7,2016,1958-2016,†,-3.0,1982,1958-2016,,57.7,1951,1926-2016,,57.7,1951,1926-1991,,6.0,1985,1926-1991,,0,1981,1981-1997,
2,10,8.1,3.2,,11.7,1977,1958-2016,,-3.6,1981,1958-2016,,38.9,1951,1926-2016,,38.9,1951,1926-1991,,12.7,1939,1926-1991,,3,1985,1981-1997,
2,11,8.1,3.3,,13.5,2005,1958-2016,,-3.4,1981,1958-2016,,39.1,1976,1926-2016,,39.1,1976,1926-1991,,5.1,1975,1926-1991,,1,1982,1981-1997,
2,12,8.2,3.3,,15.2,2016,1958-2016,†,-1.2,1978,1958-2016,,42.2,1982,1926-2016,,42.2,1982,1926-1991,,1.3,1949,1926-1991,,3,1981,1981-1997,
2,13,8.3,3.3,,13.1,2015,1958-2016,†,-2.6,1990,1958-2016,,62.0,1982,1926-2016,,62.0,1982,1926-1991,,9.7,1949,1926-1991,,0,1981,1981-1997,
2,14,8.3,3.4,,14.5,1992,1958-2016,,-4.0,1990,1958-2016,,41.1,1948,1926-2016,,41.1,1948,1926-1991,,4.8,1933,1926-1991,,0,1981,1981-1997,
2,15,8.4,3.4,,12.1,1997,1958-2016,,-1.5,1990,1958-2016,,40.6,1981,1926-2016,,40.6,1981,1926-1991,,13.0,1986,1926-1991,,2,1986,1981-1997,
2,16,8.5,3.4,,14.7,1996,1958-2016,,-2.3,1990,1958-2016,,30.5,1948,1926-2016,,27.2,1954,1926-1991,,10.9,1956,1926-1991,,8,1986,1981-1997,
2,17,8.5,3.5,,12.9,1997,1958-2016,,-6.1,1990,1958-2016,,34.3,1930,1926-2016,,34.3,1930,1926-1991,,11.7,1956,1926-1991,,7,1986,1981-1997,
2,18,8.6,3.5,,12.8,1958,1958-2016,,-5.1,1990,1958-2016,,48.5,1961,1926-2016,,48.5,1961,1926-1991,,8.1,1954,1926-1991,,4,1986,1981-1997,
2,19,8.7,3.5,,13.8,1977,1958-2016,,-6.7,1986,1958-2016,,57.2,1983,1926-2016,,57.2,1983,1926-1991,,13.0,1949,1926-1991,,3,1986,1981-1997,
2,20,8.8,3.6,,13.1,1995,1958-2016,,-2.3,1986,1958-2016,,25.8,1995,1926-2016,,24.6,1961,1926-1991,,8.9,1937,1926-1991,,3,1986,1981-1997,
2,21,8.8,3.6,,13.2,1992,1958-2016,,-2.1,1986,1958-2016,,38.9,1949,1926-2016,,38.9,1949,1926-1991,,12.7,1936,1926-1991,,3,1986,1981-1997,
2,22,8.9,3.6,,15.0,1973,1958-2016,,-0.9,1979,1958-2016,,37.0,2013,1926-2016,†,24.6,1946,1926-1991,,8.9,1957,1926-1991,,2,1986,1981-1997,
2,23,9.0,3.7,,15.6,1973,1958-2016,,-0.5,2011,1958-2016,†,62.0,1986,1926-2016,,62.0,1986,1926-1991,,7.6,1941,1926-1991,,1,1982,1981-1997,
2,24,9.0,3.7,,13.4,2005,1958-2016,,-2.8,1993,1958-2016,,65.0,1979,1926-2016,,65.0,1979,1926-1991,,2.0,1956,1926-1991,,0,1981,1981-1997,
